length of search text, length of pattern, occurrences,Boyer Moore Horspool,Knuth Morris Pratt,Z,Naive
1528619,8,5916,394,356,957,608
3057238,8,11832,773,703,1919,1219
4585857,8,17748,1156,1055,2857,1827
6114476,8,23664,1546,1406,3800,2439
7643095,8,29580,1931,1764,4828,3098
9171714,8,35496,2343,2105,5714,3687
10700333,8,41412,2804,2520,6799,4294
12228952,8,47328,3087,2832,7633,4880
13757571,8,53244,3482,3193,8631,5622
15286190,8,59160,3871,3538,9558,6104
16814809,8,65076,4240,3891,10692,6734
18343428,8,70992,4638,4247,11451,7320
19872047,8,76908,5024,4591,12397,7926
21400666,8,82824,5405,4953,13404,8539
22929285,8,88740,5793,5406,14263,9122
24457904,8,94656,6159,5635,15168,9707
25986523,8,100572,6549,5985,16149,10344
27515142,8,106488,6947,6344,17099,10945
29043761,8,112404,7312,6695,18472,11540
30572380,8,118320,7700,7041,19123,12149
32100999,8,124236,8086,7401,19993,12748
