length of search text, length of pattern, occurrences,Boyer Moore Horspool,Knuth Morris Pratt,Z
224361,32,1,3,56,108
448722,32,2,7,117,224
673083,32,3,11,175,339
897444,32,4,14,224,426
1121805,32,5,16,284,533
1346166,32,6,20,338,641
1570527,32,7,23,395,751
1794888,32,8,27,448,866
2019249,32,9,30,504,971
2243610,32,10,34,560,1081
2467971,32,11,37,616,1179
2692332,32,12,41,672,1291
2916693,32,13,44,726,1403
3141054,32,14,47,779,1511
3365415,32,15,50,881,1651
3589776,32,16,54,902,1735
3814137,32,17,57,956,1844
4038498,32,18,61,1014,1960
4262859,32,19,63,1061,2079
4487220,32,20,67,1137,2208
4711581,32,21,73,1212,2282
