length of search text, length of pattern, occurrences,Boyer Moore Horspool,Knuth Morris Pratt,Z
224361,47,0,3,58,116
448722,47,0,6,120,236
673083,47,0,10,181,340
897444,47,0,12,228,447
1121805,47,0,15,288,555
1346166,47,0,17,343,662
1570527,47,0,21,400,783
1794888,47,0,23,456,892
2019249,47,0,26,514,1005
2243610,47,0,31,574,1117
2467971,47,0,32,630,1226
2692332,47,0,35,690,1341
2916693,47,0,38,746,1458
3141054,47,0,42,800,1569
3365415,47,0,45,855,1678
3589776,47,0,47,919,1793
3814137,47,0,49,976,1900
4038498,47,0,52,1031,2013
4262859,47,0,56,1090,2125
4487220,47,0,58,1147,2233
4711581,47,0,61,1202,2347
