length of search text, length of pattern, occurrences,Boyer Moore Horspool,Knuth Morris Pratt,Z
224361,12,1,5,56,117
448722,12,2,11,119,231
673083,12,3,17,171,334
897444,12,4,21,230,443
1121805,12,5,26,295,570
1346166,12,6,31,340,664
1570527,12,7,37,400,790
1794888,12,8,42,456,892
2019249,12,9,47,511,1001
2243610,12,10,52,569,1108
2467971,12,11,58,630,1219
2692332,12,12,63,682,1327
2916693,12,13,67,740,1447
3141054,12,14,74,790,1552
3365415,12,15,89,853,1663
3589776,12,16,84,903,1778
3814137,12,17,89,964,1885
4038498,12,18,96,1022,1999
4262859,12,19,99,1081,2123
4487220,12,20,104,1144,2254
4711581,12,21,113,1191,2334
