length of search text, length of pattern, occurrences,Boyer Moore Horspool,Knuth Morris Pratt,Z
224361,2,182,27,58,115
448722,2,364,56,118,216
673083,2,546,80,175,323
897444,2,728,104,222,423
1121805,2,910,132,280,531
1346166,2,1092,155,336,641
1570527,2,1274,182,393,748
1794888,2,1456,214,448,856
2019249,2,1638,233,504,962
2243610,2,1820,260,558,1068
2467971,2,2002,286,615,1170
2692332,2,2184,312,671,1277
2916693,2,2366,337,726,1391
3141054,2,2548,366,781,1500
3365415,2,2730,392,838,1605
3589776,2,2912,417,895,1714
3814137,2,3094,445,952,1820
4038498,2,3276,468,1002,1927
4262859,2,3458,491,1060,2032
4487220,2,3640,518,1118,2147
4711581,2,3822,545,1173,2250
