length of search text, length of pattern, occurrences,Boyer Moore Horspool,Knuth Morris Pratt,Z
224361,10,25,7,56,116
448722,10,50,13,119,237
673083,10,75,20,179,347
897444,10,100,25,228,444
1121805,10,125,31,283,557
1346166,10,150,37,340,670
1570527,10,175,43,396,787
1794888,10,200,50,452,895
2019249,10,225,56,519,1012
2243610,10,250,62,566,1122
2467971,10,275,72,619,1225
2692332,10,300,76,678,1343
2916693,10,325,80,736,1456
3141054,10,350,87,791,1575
3365415,10,375,93,849,1686
3589776,10,400,99,912,1790
3814137,10,425,107,967,1902
4038498,10,450,113,1019,2022
4262859,10,475,118,1076,2129
4487220,10,500,125,1134,2255
4711581,10,525,131,1187,2349
